name,risk_level,latitude,longitude
LATINSAT B,1,-90,163
,1,1,-180
SAUDISAT 1C (SO-50),3,-90,89
,1,20,-180
LATINSAT A,2,-90,-145
,1,10,-180
NIMIQ 2,5,-90,131
,1,-10,-180
CORIOLIS,1,-90,1
,1,88,-180
SORCE,1,-90,130
,1,37,-180
NAVSTAR 51 (USA 166),3,-90,-101
,1,-6,-180
USA 167,3,-90,166
,1,-49,-180
NAVSTAR 52 (USA 168),2,-90,151
,1,-69,-180
USA 169 (MILSTAR-2 4),1,-90,12
,1,-66,-180
ASIASAT 4,1,-90,-49
,1,48,-180
HELLAS-SAT 2,4,-90,-64
,1,-38,-180
THURAYA-2,3,-90,160
,1,37,-180
OPTUS C1,3,-90,-17
,1,0,-180
MOST,4,-90,149
,1,44,-180
CUTE-1 (CO-55),5,-90,31
,1,29,-180
CUBESAT XI-IV (CO-57),3,-90,-99
,1,76,-180
GALAXY 23 (G-23),3,-90,41
,1,66,-180
SCISAT 1,3,-90,78
,1,34,-180
COSMOS 2400,3,-90,158
,1,-87,-180
COSMOS 2401,5,-90,-103
,1,-20,-180
USA 170,2,-90,119
,1,-84,-180
MOZHAYETS 4 (RS-22),2,-90,-21
,1,-90,-180
LARETS,3,-90,-84
,1,56,-180
GALAXY 13 (HORIZONS-1),2,-90,-150
,1,-20,-180
IRS-P6 (RESOURCESAT-1),4,-90,55
,1,76,-180
DMSP 5D-3 F16 (USA 172),1,-90,29
,1,-14,-180
CHUANGXIN 1 (CX-1),5,-90,-19
,1,84,-180
YAMAL 202,4,-90,165
,1,6,-180
UFO 11 (USA 174),3,-90,6
,1,-52,-180
NAVSTAR 53 (USA 175),2,-90,-30
,1,2,-180
USA 176 (DSP 22),3,-90,87
,1,-66,-180
ABS-4 (MOBISAT-1),4,-90,-19
,1,-64,-180
EUTELSAT 7A,3,-90,-75
,1,-76,-180
NAVSTAR 54 (USA 177),1,-90,116
,1,-38,-180
SHIYAN-1 (SY-1),5,-90,-61
,1,38,-180
AMC-11,3,-90,-14
,1,-3,-180
INTELSAT 10-02,1,-90,-12
,1,-1,-180
NAVSTAR 55 (USA 178),3,-90,74
,1,26,-180
APRIZESAT 2,3,-90,-135
,1,-65,-180
SAUDICOMSAT 1,5,-90,-143
,1,60,-180
SAUDICOMSAT 2,4,-90,-109
,1,56,-180
SAUDISAT 2,1,-90,169
,1,85,-180
APRIZESAT 1,1,-90,-35
,1,75,-180
AURA,5,-90,-5
,1,-10,-180
ANIK F2,2,-90,138
,1,-36,-180
COSMOS 2407,4,-90,-163
,1,-47,-180
SHIJIAN-6 01A (SJ-6 01A),1,-90,-176
,1,51,-180
SHIJIAN-6 01B (SJ-6 01B),5,-90,-131
,1,5,-180
COSMOS 2408,4,-90,-82
,1,-8,-180
COSMOS 2409,1,-90,112
,1,86,-180
AMC-15,5,-90,119
,1,-39,-180
JB-3 3 (ZY 2C),5,-90,59
,1,-1,-180
NAVSTAR 56 (USA 180),1,-90,119
,1,-46,-180
SWIFT,5,-90,88
,1,24,-180
NANOSAT-1,3,-90,96
,1,67,-180
COSMOS 2414,4,-90,-78
,1,16,-180
NSS-10,5,-90,-83
,1,26,-180
XTAR-EUR,4,-90,151
,1,88,-180
XM-3 (RHYTHM),4,-90,78
,1,-3,-180
INMARSAT 4-F1,3,-90,153
,1,-2,-180
IRS-P5 (CARTOSAT-1),5,-90,-113
,1,39,-180
NOAA 18,1,-90,-130
,1,-44,-180
DIRECTV 8,5,-90,-176
,1,-68,-180
GALAXY 28 (G-28),1,-90,103
,1,-41,-180
SJ-7,4,-90,161
,1,-51,-180
THAICOM 4,1,-90,-113
,1,-14,-180
REIMEI (INDEX),4,-90,139
,1,-33,-180
ANIK F1R,5,-90,124
,1,-26,-180
NAVSTAR 57 (USA 183),1,-90,-102
,1,-12,-180
SYRACUSE 3A,4,-90,13
,1,3,-180
BEIJING 1,1,-90,-3
,1,-15,-180
SINAH 1,4,-90,97
,1,34,-180
CUBESAT XI-V,3,-90,38
,1,17,-180
INMARSAT 4-F2,4,-90,-158
,1,17,-180
COSMOS 2416,1,-90,155
,1,22,-180
METEOSAT-9 (MSG-2),5,-90,-84
,1,35,-180
EUTELSAT 174A,3,-90,-7
,1,-86,-180
ECHOSTAR 10,5,-90,-9
,1,73,-180
SPAINSAT,2,-90,135
,1,32,-180
EUTELSAT HOTBIRD 13E,5,-90,-8
,1,-61,-180
JCSAT-5A,2,-90,-104
,1,-51,-180
ASTRA 1KR,1,-90,-158
,1,-40,-180
EROS B,4,-90,64
,1,-57,-180
EWS-G1 (GOES 13),2,-90,26
,1,52,-180
RESURS-DK 1,3,-90,10
,1,-21,-180
GALAXY 16 (G-16),2,-90,117
,1,65,-180
GENESIS 1,2,-90,169
,1,-76,-180
ARIRANG-2 (KOMPSAT-2),1,-90,31
,1,-36,-180
EUTELSAT HOTBIRD 13B,3,-90,46
,1,71,-180
JCSAT-3A,5,-90,-97
,1,65,-180
SYRACUSE 3B,2,-90,-13
,1,25,-180
KOREASAT 5 (MUGUNGWHA 5),5,-90,71
,1,4,-180
HINODE (SOLAR-B),1,-90,-178
,1,38,-180
NAVSTAR 58 (USA 190),3,-90,-168
,1,48,-180
DIRECTV 9S,2,-90,-43
,1,23,-180
OPTUS D1,4,-90,-130
,1,-32,-180
SHIJIAN-6 02A (SJ-6 02A),4,-90,-87
,1,-54,-180
SHIJIAN-6 02B (SJ-6 02B),1,-90,65
,1,37,-180
DMSP 5D-3 F17 (USA 191),3,-90,8
,1,79,-180
BADR-4,4,-90,-154
,1,-70,-180
NAVSTAR 59 (USA 192),3,-90,54
,1,63,-180
WILDBLUE-1,1,-90,29
,1,-89,-180
LAPAN-TUBSAT,3,-90,45
,1,-1,-180
THEMIS A,1,-90,93
,1,-64,-180
SKYNET 5A,3,-90,-111
,1,-73,-180
THEMIS D,1,-90,-158
,1,86,-180
THEMIS E,4,-90,165
,1,-75,-180
ANIK F3,2,-90,-105
,1,19,-180
HAIYANG-1B,3,-90,105
,1,-60,-180
SAUDISAT 3,2,-90,-80
,1,-84,-180
SAUDICOMSAT 7,5,-90,-122
,1,-84,-180
SAUDICOMSAT 6,1,-90,-133
,1,-4,-180
SAUDICOMSAT 5,5,-90,15
,1,-1,-180
SAUDICOMSAT 3,4,-90,-151
,1,-35,-180
SAUDICOMSAT 4,2,-90,58
,1,-8,-180
ASTRA 1L,2,-90,-16
,1,49,-180
GALAXY 17 (G-17),4,-90,-3
,1,-45,-180
YAOGAN-2,5,-90,137
,1,-23,-180
GLOBALSTAR M069,1,-90,109
,1,-36,-180
GLOBALSTAR M072,2,-90,-51
,1,41,-180
COSMO-SKYMED 1,1,-90,-75
,1,-82,-180
TERRASAR-X,4,-90,149
,1,25,-180
GENESIS 2,2,-90,139
,1,-83,-180
COSMOS 2428,1,-90,26
,1,-53,-180
ZHONGXING-6B,5,-90,-176
,1,-35,-180
DIRECTV 10,5,-90,83
,1,47,-180
WORLDVIEW-1 (WV-1),3,-90,86
,1,-90,-180
OPTUS D2,2,-90,74
,1,83,-180
INTELSAT 11 (IS-11),2,-90,-114
,1,-82,-180
WGS F1 (USA 195),2,-90,59
,1,-87,-180
NAVSTAR 60 (USA 196),3,-90,149
,1,56,-180
GLOBALSTAR M066,1,-90,156
,1,-30,-180
COSMOS 2433 [GLONASS-M],3,-90,-153
,1,74,-180
COSMOS 2432 [GLONASS-M],2,-90,-156
,1,25,-180
SAR-LUPE 3,5,-90,-34
,1,81,-180
YAOGAN-3,2,-90,-143
,1,54,-180
SKYNET 5B,5,-90,4
,1,66,-180
ASTRA 4A,1,-90,-108
,1,-10,-180
COSMO-SKYMED 2,2,-90,-83
,1,63,-180
RADARSAT-2,3,-90,-67
,1,71,-180
NAVSTAR 61 (USA 199),5,-90,117
,1,37,-180
HORIZONS-2,2,-90,-172
,1,32,-180
COSMOS 2434 [GLONASS-M],4,-90,-90
,1,32,-180
COSMOS 2436 [GLONASS-M],1,-90,168
,1,-19,-180
THURAYA-3,1,-90,150
,1,68,-180
THOR 5,2,-90,-117
,1,-63,-180
AMC-14,3,-90,-176
,1,-57,-180
NAVSTAR 62 (USA 201),1,-90,-13
,1,59,-180
DIRECTV 11,5,-90,133
,1,60,-180
ICO G1,5,-90,46
,1,45,-180
VINASAT-1,3,-90,105
,1,33,-180
STAR ONE C2,5,-90,-160
,1,44,-180
CARTOSAT-2A,5,-90,-82
,1,33,-180
CUTE-1.7+APD II (CO-65),5,-90,30
,1,-74,-180
CANX-2,4,-90,46
,1,30,-180
SEEDS II (CO-66),3,-90,-141
,1,-86,-180
AMOS-3,2,-90,-37
,1,-82,-180
GALAXY 18 (G-18),3,-90,-25
,1,-30,-180
YUBILEINY (RS-30),3,-90,112
,1,17,-180
COSMOS 2437,3,-90,-38
,1,70,-180
COSMOS 2438,1,-90,77
,1,45,-180
COSMOS 2439,3,-90,-43
,1,53,-180
FENGYUN 3A,2,-90,-29
,1,-90,-180
ZHONGXING-9,1,-90,9
,1,53,-180
FGRST (GLAST),1,-90,77
,1,-84,-180
SKYNET 5C,2,-90,109
,1,27,-180
TURKSAT 3A,1,-90,-38
,1,-74,-180
INTELSAT 25 (IS-25),2,-90,-1
,1,-65,-180
ECHOSTAR 11,5,-90,-17
,1,-19,-180
SUPERBIRD-C2,2,-90,90
,1,2,-180
AMC-21,2,-90,-40
,1,-19,-180
INMARSAT 4-F3,5,-90,155
,1,47,-180
HUANJING 1A (HJ-1A),5,-90,-105
,1,-35,-180
HUANJING 1B (HJ-1B),5,-90,1
,1,-14,-180
GEOEYE 1,1,-90,55
,1,-41,-180
NIMIQ 4,2,-90,-147
,1,-4,-180
GALAXY 19 (G-19),1,-90,-22
,1,31,-180
THEOS,5,-90,128
,1,3,-180
SHIJIAN-6 03A (SJ-6 03A),1,-90,82
,1,31,-180
SHIJIAN-6 03B (SJ-6 03B),4,-90,135
,1,-50,-180
COSMO-SKYMED 3,3,-90,-23
,1,15,-180
SHIYAN-3 (SY-3),4,-90,-160
,1,40,-180
CHUANGXIN 1-02 (CX-1-02),3,-90,39
,1,14,-180
ASTRA 1M,4,-90,-68
,1,-17,-180
YAOGAN-4,3,-90,-132
,1,-68,-180
EUTELSAT HOTBIRD 13C,4,-90,-121
,1,79,-180
GOSAT (IBUKI),2,-90,98
,1,28,-180
STARS (KUKAI),4,-90,-96
,1,19,-180
KKS-1 (KISEKI),4,-90,38
,1,43,-180
NOAA 19,3,-90,-175
,1,83,-180
EXPRESS-AM44,1,-90,60
,1,-81,-180
NSS-9,5,-90,-113
,1,-31,-180
TELSTAR 11N,3,-90,-89
,1,-60,-180
NAVSTAR 63 (USA 203),4,-90,-63
,1,-48,-180
WGS F2 (USA 204),1,-90,-9
,1,39,-180
YAOGAN-6,3,-90,60
,1,-40,-180
SES-7 (PROTOSTAR 2),2,-90,-83
,1,-12,-180
MEASAT-3A,3,-90,-26
,1,69,-180
GOES 14,2,-90,11
,1,87,-180
FM-5,1,-90,-13
,1,11,-180
TERRESTAR-1,3,-90,-148
,1,-65,-180
COSMOS 2451,2,-90,-129
,1,-51,-180
COSMOS 2453,5,-90,80
,1,35,-180
DEIMOS-1,2,-90,-12
,1,-84,-180
DUBAISAT-1,1,-90,174
,1,-61,-180
UK-DMC 2,5,-90,-34
,1,26,-180
APRIZESAT 4,2,-90,-88
,1,-43,-180
NANOSAT 1B,1,-90,-112
,1,-33,-180
APRIZESAT 3,1,-90,20
,1,-52,-180
ASIASAT 5,2,-90,-59
,1,-59,-180
NAVSTAR 64 (USA 206),5,-90,157
,1,-53,-180
JCSAT-12 (JCSAT-RA),4,-90,-117
,1,13,-180
OPTUS D3,3,-90,-86
,1,-26,-180
NIMIQ 5,5,-90,110
,1,-80,-180
OCEANSAT-2,1,-90,-94
,1,-2,-180
SWISSCUBE,5,-90,-17
,1,-82,-180
BEESAT-1,1,-90,157
,1,-17,-180
ITUPSAT1,2,-90,130
,1,-23,-180
AMAZONAS 2,2,-90,-155
,1,-88,-180
COMSATBW-1,5,-90,1
,1,-8,-180
WORLDVIEW-2 (WV-2),2,-90,-86
,1,-84,-180
DMSP 5D-3 F18 (USA 210),5,-90,-44
,1,-79,-180
NSS-12,2,-90,87
,1,12,-180
THOR 6,3,-90,178
,1,41,-180
SMOS,4,-90,130
,1,-44,-180
PROBA-2,3,-90,-137
,1,-22,-180
SJ-11-01,5,-90,64
,1,34,-180
COSMOS 2455,4,-90,140
,1,-87,-180
INTELSAT 14 (IS-14),2,-90,-108
,1,89,-180
EUTELSAT 36B,5,-90,118
,1,75,-180
INTELSAT 15 (IS-15),1,-90,139
,1,61,-180
WGS F3 (USA 211),4,-90,118
,1,70,-180
YAOGAN-7,1,-90,-116
,1,-42,-180
COSMOS 2456 [GLONASS-M],5,-90,-47
,1,-51,-180
COSMOS 2457 [GLONASS-M],5,-90,175
,1,43,-180
YAOGAN-8,4,-90,172
,1,-29,-180
XIWANG-1 (HOPE-1),2,-90,-79
,1,72,-180
DIRECTV 12,5,-90,-170
,1,38,-180
BEIDOU-2 G1,3,-90,-129
,1,36,-180
SDO,4,-90,-145
,1,-75,-180
INTELSAT 16 (IS-16),4,-90,-167
,1,-50,-180
COSMOS 2460 [GLONASS-M],2,-90,-56
,1,-63,-180
EWS-G2 (GOES 15),5,-90,-112
,1,-62,-180
YAOGAN-9 01A,4,-90,178
,1,-63,-180
YAOGAN-9 01B,4,-90,-28
,1,16,-180
YAOGAN-9 01C,3,-90,31
,1,71,-180
ECHOSTAR 14,3,-90,138
,1,84,-180
CRYOSAT 2,5,-90,-103
,1,28,-180
SES-1,1,-90,17
,1,85,-180
COSMOS 2463,4,-90,91
,1,-44,-180
ASTRA 3B,4,-90,-1
,1,-58,-180
COMSATBW-2,2,-90,-130
,1,-48,-180
NAVSTAR 65 (USA 213),1,-90,-49
,1,-51,-180
BEIDOU-2 G3,5,-90,95
,1,66,-180
BADR-5,4,-90,136
,1,10,-180
SJ-12,3,-90,145
,1,42,-180
TANDEM-X,2,-90,51
,1,20,-180
COMS 1,1,-90,-76
,1,14,-180
ARABSAT-5A,1,-90,-111
,1,29,-180
ECHOSTAR 15,5,-90,-42
,1,-72,-180
CARTOSAT-2B,4,-90,164
,1,-67,-180
ALSAT 2A,5,-90,178
,1,-33,-180
TISAT 1,3,-90,3
,1,-57,-180
BEIDOU-2 IGSO-1,4,-90,44
,1,-9,-180
NILESAT 201,5,-90,92
,1,-4,-180
RASCOM-QAF 1R,1,-90,-51
,1,-50,-180
YAOGAN-10,3,-90,-155
,1,-61,-180
AEHF-1 (USA 214),4,-90,-160
,1,10,-180
COSMOS 2467,1,-90,62
,1,-34,-180
STRELA 3,3,-90,1
,1,-88,-180
COSMOS 2468,3,-90,5
,1,-69,-180
YAOGAN-11,5,-90,85
,1,21,-180
ZHEDA PIXING 1B,2,-90,-161
,1,86,-180
ZHEDA PIXING 1C,4,-90,-101
,1,-25,-180
SBSS (USA 216),2,-90,-164
,1,30,-180
SHIJIAN-6 04A (SJ-6 04A),4,-90,-172
,1,-77,-180
SHIJIAN-6 04B (SJ-6 04B),3,-90,-103
,1,-46,-180
XM-5,5,-90,-150
,1,-2,-180
GLOBALSTAR M079,3,-90,-60
,1,41,-180
GLOBALSTAR M074,1,-90,-165
,1,36,-180
GLOBALSTAR M076,5,-90,-74
,1,-17,-180
GLOBALSTAR M077,4,-90,118
,1,-22,-180
GLOBALSTAR M075,3,-90,153
,1,7,-180
GLOBALSTAR M073,5,-90,58
,1,-35,-180
BSAT-3B,1,-90,140
,1,70,-180
BEIDOU-2 G4,3,-90,-75
,1,-87,-180
FENGYUN 3B,1,-90,-42
,1,70,-180
COSMO-SKYMED 4,2,-90,114
,1,-57,-180
SKYTERRA 1,2,-90,84
,1,28,-180
O/OREOS (USA 219),5,-90,-60
,1,28,-180
HYLAS 1,2,-90,-114
,1,-63,-180
INTELSAT 17 (IS-17),5,-90,129
,1,27,-180
BEIDOU-2 IGSO-2,2,-90,14
,1,-56,-180
EUTELSAT KA-SAT 9A,3,-90,-178
,1,12,-180
HISPASAT 30W-5,2,-90,137
,1,81,-180
KOREASAT 6,2,-90,-16
,1,-51,-180
BEIDOU-2 IGSO-3,1,-90,121
,1,-26,-180
RESOURCESAT-2,3,-90,39
,1,31,-180
YOUTHSAT,3,-90,-7
,1,-46,-180
X-SAT,2,-90,119
,1,-37,-180
INTELSAT 28 (IS-28),1,-90,-144
,1,9,-180
YAHSAT 1A,4,-90,127
,1,76,-180
SBIRS GEO-1 (USA 230),1,-90,-19
,1,54,-180
TELSTAR 14R,2,-90,-144
,1,47,-180
GSAT-8,3,-90,-67
,1,41,-180
ST-2,2,-90,-121
,1,-22,-180
ZHONGXING-10,3,-90,99
,1,-53,-180
SJ-11-03,3,-90,93
,1,50,-180
GLOBALSTAR M083,3,-90,-177
,1,-10,-180
GLOBALSTAR M088,3,-90,-135
,1,4,-180
GLOBALSTAR M091,5,-90,-10
,1,53,-180
GLOBALSTAR M085,5,-90,95
,1,-85,-180
GLOBALSTAR M081,3,-90,59
,1,-5,-180
GLOBALSTAR M089,2,-90,37
,1,81,-180
SES-3,4,-90,157
,1,-49,-180
KAZSAT-2,2,-90,125
,1,-47,-180
NAVSTAR 66 (USA 232),5,-90,-69
,1,88,-180
BEIDOU-2 IGSO-4,4,-90,-160
,1,-56,-180
SJ-11-02,4,-90,-88
,1,9,-180
ASTRA 1N,1,-90,158
,1,20,-180
BSAT-3C (JCSAT-110R),2,-90,-148
,1,-54,-180
PAKSAT-1R,5,-90,86
,1,16,-180
HAIYANG-2A,3,-90,-178
,1,-61,-180
NIGERIASAT-2,1,-90,-103
,1,-72,-180
NIGERIASAT-X,3,-90,158
,1,-68,-180
RASAT,3,-90,55
,1,-89,-180
APRIZESAT 5,4,-90,-102
,1,65,-180
APRIZESAT 6,5,-90,-4
,1,-83,-180
SES-2,3,-90,36
,1,-39,-180
ARABSAT-5C,4,-90,-74
,1,-38,-180
EUTELSAT 7 WEST A,4,-90,5
,1,-58,-180
TACSAT 4,5,-90,-126
,1,47,-180
QUETZSAT 1,3,-90,-29
,1,-21,-180
INTELSAT 18 (IS-18),4,-90,163
,1,-21,-180
EUTELSAT 16A,2,-90,-140
,1,32,-180
JUGNU,1,-90,-88
,1,-53,-180
SRMSAT,3,-90,19
,1,-42,-180
VIASAT-1,1,-90,138
,1,12,-180
GSAT0101 (GALILEO-PFM),1,-90,1
,1,-38,-180
GSAT0102 (GALILEO-FM2),3,-90,-175
,1,-26,-180
SUOMI NPP,2,-90,106
,1,10,-180
COSMOS 2476 [GLONASS-M],5,-90,69
,1,-65,-180
COSMOS 2477 [GLONASS-M],2,-90,-118
,1,73,-180
COSMOS 2475 [GLONASS-M],5,-90,147
,1,-79,-180
YAOGAN-12,2,-90,-30
,1,-17,-180
CHUANGXIN 1-03 (CX-1-03),4,-90,-176
,1,63,-180
SHIYAN-4 (SY-4),2,-90,-172
,1,42,-180
ASIASAT 7,3,-90,-88
,1,75,-180
BEIDOU-2 IGSO-5,2,-90,105
,1,81,-180
LUCH-5A,3,-90,-88
,1,-43,-180
SSOT,4,-90,-179
,1,33,-180
PLEIADES 1A,2,-90,144
,1,-63,-180
NIGCOMSAT 1R,2,-90,11
,1,42,-180
ZIYUAN 1-02C (ZY 1-02C),3,-90,-128
,1,-30,-180
GLOBALSTAR M084,1,-90,156
,1,26,-180
GLOBALSTAR M080,3,-90,-127
,1,-83,-180
GLOBALSTAR M082,1,-90,-135
,1,14,-180
GLOBALSTAR M092,1,-90,145
,1,-50,-180
GLOBALSTAR M090,4,-90,145
,1,24,-180
GLOBALSTAR M086,5,-90,-37
,1,-82,-180
ZIYUAN 3-1 (ZY 3-1),1,-90,37
,1,-50,-180
WGS F4 (USA 233),3,-90,43
,1,61,-180
LARES,2,-90,-24
,1,25,-180
SES-4,4,-90,161
,1,-2,-180
BEIDOU-2 G5,4,-90,95
,1,52,-180
MUOS-1,2,-90,-154
,1,9,-180
INTELSAT 22 (IS-22),5,-90,-83
,1,-70,-180
APSTAR-7,1,-90,165
,1,-69,-180
YAHSAT 1B,1,-90,73
,1,79,-180
BEIDOU-2 M3,4,-90,160
,1,-58,-180
BEIDOU-2 M4,3,-90,-55
,1,52,-180
AEHF-2 (USA 235),3,-90,-108
,1,20,-180
TIANHUI 1-02,4,-90,-47
,1,20,-180
YAOGAN-14,2,-90,68
,1,40,-180
JCSAT-13,3,-90,47
,1,76,-180
VINASAT-2,1,-90,156
,1,-60,-180
GCOM-W1 (SHIZUKU),3,-90,-66
,1,-70,-180
ARIRANG-3 (KOMPSAT-3),2,-90,-43
,1,-40,-180
SDS-4,2,-90,-178
,1,50,-180
NIMIQ 6,3,-90,-73
,1,-65,-180
ZHONGXING-2A,2,-90,-52
,1,58,-180
YAOGAN-15,2,-90,29
,1,-17,-180
INTELSAT 19 (IS-19),3,-90,121
,1,55,-180
NUSTAR,5,-90,-82
,1,-55,-180
ECHOSTAR 17,3,-90,-155
,1,-75,-180
METEOSAT-10 (MSG-3),2,-90,144
,1,31,-180
SES-5,2,-90,152
,1,80,-180
EXACTVIEW-1 (ADS-1B),2,-90,56
,1,37,-180
MKA-PN 1,5,-90,-27
,1,-26,-180
COSMOS 2481,5,-90,163
,1,48,-180
GONETS-M 3,1,-90,15
,1,28,-180
GONETS-M 4,5,-90,32
,1,-19,-180
INTELSAT 20 (IS-20),1,-90,116
,1,-19,-180
HYLAS 2,2,-90,95
,1,-3,-180
EXPRESS-MD2,3,-90,-147
,1,-11,-180
INTELSAT 21 (IS-21),5,-90,-140
,1,-40,-180
SPOT 6,4,-90,-50
,1,-41,-180
SMDC ONE 1.2,1,-90,-125
,1,-14,-180
CINEMA,3,-90,9
,1,-14,-180
SMDC ONE 1.1,2,-90,30
,1,-83,-180
AEROCUBE 4.5A,4,-90,-99
,1,-54,-180
METOP-B,1,-90,111
,1,3,-180
