name,risk_level,latitude,longitude
,1,-88,-180
UK-DMC 2,4,-90,-112
,1,-87,-180
APRIZESAT 4,1,-90,-168
,1,64,-180
NANOSAT 1B,1,-90,132
,1,85,-180
APRIZESAT 3,3,-90,-99
,1,88,-180
ASIASAT 5,3,-90,-156
,1,20,-180
NAVSTAR 64 (USA 206),4,-90,11
,1,7,-180
JCSAT-12 (JCSAT-RA),4,-90,-76
,1,32,-180
OPTUS D3,2,-90,163
,1,-48,-180
NIMIQ 5,4,-90,162
,1,84,-180
OCEANSAT-2,1,-90,84
,1,64,-180
SWISSCUBE,2,-90,25
,1,-47,-180
BEESAT-1,2,-90,-39
,1,17,-180
ITUPSAT1,5,-90,-17
,1,64,-180
AMAZONAS 2,5,-90,-19
,1,49,-180
COMSATBW-1,1,-90,-48
,1,-30,-180
WORLDVIEW-2 (WV-2),5,-90,-32
,1,62,-180
DMSP 5D-3 F18 (USA 210),4,-90,43
,1,65,-180
NSS-12,4,-90,-18
,1,49,-180
THOR 6,1,-90,125
,1,68,-180
SMOS,4,-90,112
,1,-52,-180
PROBA-2,1,-90,34
,1,-22,-180
SJ-11-01,3,-90,-161
,1,31,-180
COSMOS 2455,2,-90,2
,1,-19,-180
INTELSAT 14 (IS-14),1,-90,109
,1,-82,-180
EUTELSAT 36B,5,-90,-155
,1,-14,-180
INTELSAT 15 (IS-15),3,-90,40
,1,15,-180
WGS F3 (USA 211),2,-90,-34
,1,-68,-180
YAOGAN-7,2,-90,156
,1,-71,-180
COSMOS 2456 [GLONASS-M],1,-90,-115
,1,29,-180
COSMOS 2457 [GLONASS-M],2,-90,23
,1,6,-180
YAOGAN-8,3,-90,86
,1,42,-180
XIWANG-1 (HOPE-1),4,-90,117
,1,-42,-180
DIRECTV 12,5,-90,-8
,1,42,-180
BEIDOU-2 G1,1,-90,171
,1,-49,-180
SDO,4,-90,-40
,1,34,-180
INTELSAT 16 (IS-16),4,-90,5
,1,71,-180
COSMOS 2460 [GLONASS-M],5,-90,119
,1,-54,-180
EWS-G2 (GOES 15),2,-90,60
,1,-64,-180
YAOGAN-9 01A,4,-90,103
,1,-43,-180
YAOGAN-9 01B,1,-90,116
,1,-82,-180
YAOGAN-9 01C,1,-90,-142
,1,-56,-180
ECHOSTAR 14,2,-90,33
,1,-2,-180
CRYOSAT 2,5,-90,-102
,1,-74,-180
SES-1,5,-90,51
,1,43,-180
COSMOS 2463,4,-90,-5
,1,-27,-180
ASTRA 3B,2,-90,66
,1,36,-180
COMSATBW-2,3,-90,15
,1,81,-180
NAVSTAR 65 (USA 213),2,-90,159
,1,-25,-180
BEIDOU-2 G3,4,-90,-30
,1,22,-180
BADR-5,2,-90,-17
,1,-81,-180
SJ-12,5,-90,-70
,1,13,-180
TANDEM-X,1,-90,130
,1,-74,-180
COMS 1,3,-90,140
,1,-70,-180
ARABSAT-5A,1,-90,71
,1,-83,-180
ECHOSTAR 15,3,-90,-139
,1,-43,-180
CARTOSAT-2B,4,-90,-13
,1,-64,-180
ALSAT 2A,2,-90,85
,1,64,-180
TISAT 1,3,-90,-73
,1,29,-180
BEIDOU-2 IGSO-1,5,-90,-97
,1,3,-180
NILESAT 201,1,-90,79
,1,-79,-180
RASCOM-QAF 1R,2,-90,-100
,1,-76,-180
YAOGAN-10,2,-90,-163
,1,-79,-180
AEHF-1 (USA 214),5,-90,114
,1,-43,-180
COSMOS 2467,1,-90,-133
,1,54,-180
STRELA 3,4,-90,-103
,1,-32,-180
COSMOS 2468,2,-90,-98
,1,4,-180
YAOGAN-11,5,-90,27
,1,76,-180
ZHEDA PIXING 1B,4,-90,158
,1,-50,-180
ZHEDA PIXING 1C,5,-90,-120
,1,48,-180
SBSS (USA 216),3,-90,-134
,1,-43,-180
SHIJIAN-6 04A (SJ-6 04A),4,-90,54
,1,50,-180
SHIJIAN-6 04B (SJ-6 04B),2,-90,88
,1,86,-180
XM-5,5,-90,-80
,1,-87,-180
GLOBALSTAR M079,3,-90,-150
,1,34,-180
GLOBALSTAR M074,2,-90,-25
,1,-81,-180
GLOBALSTAR M076,4,-90,58
,1,30,-180
GLOBALSTAR M077,2,-90,79
,1,19,-180
GLOBALSTAR M075,5,-90,129
,1,-51,-180
GLOBALSTAR M073,4,-90,45
,1,48,-180
BSAT-3B,1,-90,136
,1,-21,-180
BEIDOU-2 G4,4,-90,15
,1,-72,-180
FENGYUN 3B,4,-90,138
,1,68,-180
COSMO-SKYMED 4,1,-90,149
,1,44,-180
SKYTERRA 1,5,-90,95
,1,80,-180
O/OREOS (USA 219),2,-90,-40
,1,10,-180
HYLAS 1,3,-90,0
,1,-53,-180
INTELSAT 17 (IS-17),2,-90,148
,1,16,-180
BEIDOU-2 IGSO-2,5,-90,46
,1,-53,-180
EUTELSAT KA-SAT 9A,1,-90,-136
,1,14,-180
HISPASAT 30W-5,5,-90,-139
,1,6,-180
KOREASAT 6,4,-90,-80
,1,-9,-180
BEIDOU-2 IGSO-3,4,-90,-137
,1,-15,-180
RESOURCESAT-2,2,-90,-32
,1,80,-180
YOUTHSAT,5,-90,-51
,1,-41,-180
X-SAT,4,-90,105
,1,60,-180
INTELSAT 28 (IS-28),4,-90,-54
,1,19,-180
YAHSAT 1A,5,-90,179
,1,-29,-180
SBIRS GEO-1 (USA 230),2,-90,170
,1,-54,-180
TELSTAR 14R,1,-90,-141
,1,66,-180
GSAT-8,3,-90,-23
,1,10,-180
ST-2,3,-90,30
,1,-39,-180
ZHONGXING-10,1,-90,-130
,1,-46,-180
SJ-11-03,3,-90,-178
,1,26,-180
GLOBALSTAR M083,3,-90,-43
,1,-62,-180
GLOBALSTAR M088,1,-90,151
,1,33,-180
GLOBALSTAR M091,2,-90,32
,1,-16,-180
GLOBALSTAR M085,3,-90,13
,1,-74,-180
GLOBALSTAR M081,3,-90,-87
,1,36,-180
GLOBALSTAR M089,2,-90,160
,1,-19,-180
SES-3,1,-90,-121
,1,67,-180
KAZSAT-2,5,-90,-53
,1,-10,-180
NAVSTAR 66 (USA 232),5,-90,148
,1,74,-180
BEIDOU-2 IGSO-4,1,-90,13
,1,30,-180
SJ-11-02,2,-90,-61
,1,84,-180
ASTRA 1N,3,-90,30
,1,-16,-180
BSAT-3C (JCSAT-110R),1,-90,48
,1,7,-180
PAKSAT-1R,3,-90,98
,1,-75,-180
HAIYANG-2A,3,-90,49
,1,-7,-180
NIGERIASAT-2,5,-90,-110
,1,-81,-180
NIGERIASAT-X,2,-90,-179
,1,-14,-180
RASAT,2,-90,-110
,1,-46,-180
APRIZESAT 5,1,-90,46
,1,32,-180
APRIZESAT 6,3,-90,-109
,1,-43,-180
SES-2,4,-90,59
,1,-40,-180
ARABSAT-5C,2,-90,68
,1,81,-180
EUTELSAT 7 WEST A,5,-90,127
,1,-31,-180
TACSAT 4,1,-90,-110
,1,-22,-180
QUETZSAT 1,3,-90,-164
,1,41,-180
INTELSAT 18 (IS-18),3,-90,-64
,1,9,-180
EUTELSAT 16A,5,-90,-120
,1,9,-180
JUGNU,4,-90,-93
,1,-64,-180
SRMSAT,2,-90,-143
,1,89,-180
VIASAT-1,3,-90,-60
,1,83,-180
GSAT0101 (GALILEO-PFM),4,-90,73
,1,-88,-180
GSAT0102 (GALILEO-FM2),2,-90,36
,1,16,-180
SUOMI NPP,2,-90,-47
,1,-26,-180
COSMOS 2476 [GLONASS-M],2,-90,22
,1,-37,-180
COSMOS 2477 [GLONASS-M],4,-90,53
,1,-51,-180
COSMOS 2475 [GLONASS-M],4,-90,102
,1,41,-180
YAOGAN-12,4,-90,-72
,1,73,-180
CHUANGXIN 1-03 (CX-1-03),1,-90,97
,1,-47,-180
SHIYAN-4 (SY-4),4,-90,-175
,1,-82,-180
ASIASAT 7,4,-90,-162
,1,-50,-180
BEIDOU-2 IGSO-5,2,-90,-42
,1,-67,-180
LUCH-5A,3,-90,129
,1,39,-180
SSOT,4,-90,-49
,1,-40,-180
PLEIADES 1A,1,-90,124
,1,-83,-180
NIGCOMSAT 1R,2,-90,-83
,1,-30,-180
ZIYUAN 1-02C (ZY 1-02C),1,-90,134
,1,12,-180
GLOBALSTAR M084,3,-90,125
,1,65,-180
GLOBALSTAR M080,3,-90,99
,1,2,-180
GLOBALSTAR M082,3,-90,-125
,1,82,-180
GLOBALSTAR M092,4,-90,76
,1,-17,-180
GLOBALSTAR M090,2,-90,21
,1,-81,-180
GLOBALSTAR M086,3,-90,8
,1,13,-180
ZIYUAN 3-1 (ZY 3-1),5,-90,-35
,1,-71,-180
WGS F4 (USA 233),1,-90,49
,1,34,-180
LARES,1,-90,-78
,1,34,-180
SES-4,3,-90,-168
,1,-15,-180
BEIDOU-2 G5,3,-90,176
,1,66,-180
MUOS-1,5,-90,29
,1,74,-180
INTELSAT 22 (IS-22),4,-90,-106
,1,-58,-180
APSTAR-7,2,-90,-95
,1,-36,-180
YAHSAT 1B,3,-90,161
,1,-5,-180
BEIDOU-2 M3,5,-90,-11
,1,52,-180
BEIDOU-2 M4,2,-90,-149
,1,-74,-180
AEHF-2 (USA 235),3,-90,-171
,1,-84,-180
TIANHUI 1-02,4,-90,3
,1,-79,-180
YAOGAN-14,2,-90,146
,1,-74,-180
JCSAT-13,2,-90,166
,1,-52,-180
VINASAT-2,4,-90,-79
,1,-29,-180
GCOM-W1 (SHIZUKU),2,-90,156
,1,-69,-180
ARIRANG-3 (KOMPSAT-3),3,-90,-167
,1,-2,-180
SDS-4,1,-90,89
,1,-25,-180
NIMIQ 6,3,-90,91
,1,-22,-180
ZHONGXING-2A,2,-90,123
,1,5,-180
YAOGAN-15,4,-90,124
,1,-11,-180
INTELSAT 19 (IS-19),4,-90,39
,1,-24,-180
NUSTAR,3,-90,92
,1,78,-180
ECHOSTAR 17,1,-90,107
,1,6,-180
METEOSAT-10 (MSG-3),3,-90,58
,1,-56,-180
SES-5,3,-90,113
,1,-20,-180
EXACTVIEW-1 (ADS-1B),3,-90,-72
,1,18,-180
MKA-PN 1,1,-90,-13
,1,83,-180
COSMOS 2481,3,-90,10
,1,66,-180
GONETS-M 3,5,-90,-102
,1,57,-180
GONETS-M 4,5,-90,-171
,1,2,-180
INTELSAT 20 (IS-20),4,-90,126
,1,-67,-180
HYLAS 2,1,-90,-101
,1,-38,-180
EXPRESS-MD2,1,-90,63
,1,69,-180
INTELSAT 21 (IS-21),5,-90,172
,1,62,-180
SPOT 6,5,-90,1
,1,-18,-180
SMDC ONE 1.2,2,-90,6
,1,85,-180
CINEMA,2,-90,-20
,1,-80,-180
SMDC ONE 1.1,1,-90,163
,1,-19,-180
AEROCUBE 4.5A,5,-90,11
,1,-54,-180
METOP-B,1,-90,21
,1,-60,-180
BEIDOU-2 M6,2,-90,20
,1,56,-180
ASTRA 2F,1,-90,136
